code,en,fr
generic,https://geogratis.gc.ca/services/geoname/en/codes/generic.json,https://geogratis.gc.ca/services/geoname/fr/codes/generic.json
province,https://geogratis.gc.ca/services/geoname/en/codes/province.json,https://geogratis.gc.ca/services/geoname/fr/codes/province.json
